frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
404,3.371247,5.123076e-01,1.308667e+02,3.211329e-07,6.874428e-01,1.892576e-02,-7.948162e+00
405,3.379592,4.626295e-01,6.997009e+01,1.603107e-07,5.704721e-01,1.770043e-02,-8.073564e+00
406,3.387937,4.309600e-01,0,9.629377e-08,4.799844e-01,4.269252e-02,-7.014237e+00
407,3.396281,4.130704e-01,0,4.606772e-08,3.493413e-01,8.689211e-02,-5.532482e+00
408,3.404626,4.223507e-01,0,1.360190e-08,2.243595e-01,1.437660e-01,-3.958207e+00
409,3.412971,5.408122e-01,0,2.110131e-09,1.537984e-01,1.870841e-01,-3.380293e+00
410,3.421315,6.830611e-01,6.450293e+01,3.492691e-08,2.622044e-01,2.194849e-01,-3.044970e+00
411,3.429660,8.311326e-01,1.290059e+02,4.295362e-08,3.312119e-01,2.494789e-01,-2.784667e+00
412,3.438005,9.053292e-01,1.935088e+02,6.190658e-06,1.077316e+00,2.719553e-01,-2.609344e+00
413,3.446349,9.177623e-01,1.935088e+02,6.401401e-06,1.213216e+00,2.856748e-01,-2.506173e+00
414,3.454694,9.086931e-01,1.937942e+02,8.217683e-06,1.658059e+00,2.911730e-01,-2.467796e+00
415,3.463039,8.983810e-01,1.943650e+02,3.965775e-06,1.420448e+00,2.938936e-01,-2.449392e+00
416,3.471383,8.986570e-01,1.952263e+02,1.023904e-05,1.929957e+00,3.010150e-01,-2.401537e+00
417,3.479728,9.087687e-01,1.966896e+02,2.383508e-05,2.427905e+00,3.053107e-01,-2.373018e+00
418,3.488073,9.196494e-01,1.990833e+02,3.029109e-05,2.742450e+00,3.097664e-01,-2.343933e+00
419,3.496417,9.270632e-01,2.018055e+02,3.364009e-05,2.850177e+00,3.161526e-01,-2.303757e+00
420,3.504762,9.321971e-01,2.039585e+02,2.037334e-05,2.380558e+00,3.222949e-01,-2.264989e+00
